,assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
0,4,1,4,0.41666,0,32,2,Wahlstrom,0,8,8480789,-6,6,0.1875,R,1,2,20232024,0,0,0.04878,R,41,Oliver Wahlstrom,NYI,664.2187
1,14,5,18,,0,70,5,Fehervary,0,26,8480796,-7,19,0.27142,D,0,0,20232024,0,1,0.07246,L,69,Martin Fehervary,WSH,1185.1142
2,28,20,43,0.375,2,82,22,Farabee,1,37,8480797,-13,50,0.60975,L,2,7,20232024,0,0,0.12087,L,182,Joel Farabee,PHI,971.1829
3,36,12,35,0.4635,3,75,18,Kurashev,1,23,8480798,-44,54,0.72,C,6,19,20232024,0,0,0.14062,L,128,Philipp Kurashev,CHI,1141.1066
4,85,12,59,,2,95,17,Hughes,1,44,8480800,39,102,1.07368,D,5,43,20232024,0,0,0.07727,L,220,Quinn Hughes,VAN,1478.9473
5,37,25,52,0.52631,2,81,37,Tkachuk,1,134,8480801,1,74,0.91358,L,12,22,20232024,0,0,0.10364,L,357,Brady Tkachuk,OTT,1148.5308
6,18,16,31,0.51039,3,105,16,McLeod,0,26,8480802,3,34,0.3238,C,0,1,20232024,0,2,0.12121,L,132,Ryan McLeod,EDM,840.3142
7,90,15,65,,10,106,24,Bouchard,3,54,8480803,48,114,1.07547,D,9,49,20232024,0,0,0.08163,R,294,Evan Bouchard,EDM,1408.4245
8,6,4,9,0.44041,0,46,5,Lundestrom,0,2,8480806,-1,11,0.23913,C,0,1,20232024,1,1,0.13157,L,38,Isac Lundestrom,ANA,860.4565
9,6,1,7,,1,41,1,Samuelsson,0,26,8480807,4,7,0.17073,D,0,0,20232024,0,0,0.02272,L,44,Mattias Samuelsson,BUF,1230.0
10,16,9,22,0.49035,1,80,12,Veleno,0,25,8480813,-16,28,0.35,C,3,5,20232024,0,1,0.13953,L,86,Joe Veleno,DET,837.3875
11,2,0,1,,0,7,0,Graf,0,0,8484911,-4,2,0.28571,R,0,1,20232024,0,0,0.0,R,7,Collin Graf,SJS,995.7142
12,25,8,31,,4,96,9,Miller,1,57,8480817,7,34,0.35416,D,0,1,20232024,1,2,0.08256,L,109,K'Andre Miller,NYR,1288.9479
13,55,18,52,0.3617,4,87,24,Nyquist,0,10,8474679,4,79,0.90804,C,5,25,20232024,1,2,0.15189,L,158,Gustav Nyquist,NSH,1074.2183
14,3,1,4,,0,43,1,Alexeyev,0,10,8480823,-10,4,0.09302,D,0,0,20232024,0,0,0.04545,L,22,Alexander Alexeyev,WSH,852.5813
15,16,11,25,0.51739,0,90,12,Kotkaniemi,0,40,8480829,-6,28,0.31111,C,1,2,20232024,0,1,0.08391,L,143,Jesperi Kotkaniemi,CAR,764.3333
16,42,15,43,0.5,8,70,21,Svechnikov,0,74,8480830,13,63,0.9,R,6,20,20232024,0,0,0.12209,L,172,Andrei Svechnikov,CAR,1035.2714
17,9,1,9,,0,30,1,Emberson,0,6,8480834,-4,10,0.33333,D,0,1,20232024,0,0,0.03225,R,31,Ty Emberson,SJS,1112.9666
