playerId,blockedShots,blockedShotsPer60,emptyNetAssists,emptyNetGoals,emptyNetPoints,firstGoals,gamesPlayed,giveaways,giveawaysPer60,hits,hitsPer60,lastName,missedShotCrossbar,missedShotGoalpost,missedShotOverNet,missedShotShort,missedShotWideOfNet,missedShots,otGoals,positionCode,shootsCatches,shotAttemptsBlocked,skaterFullName,takeaways,takeawaysPer60,teamAbbrevs,timeOnIcePerGame
8480789,22,3.72,0.0,0,0.0,0,32,10,1.69,35,5.92,Wahlstrom,2,2,1,0,8,13,0,R,R,28,Oliver Wahlstrom,10,1.69,NYI,664.21
8480796,118,5.12,2.0,0,2.0,1,70,14,0.6,204,8.85,Fehervary,0,1,0,0,26,27,0,D,L,57,Martin Fehervary,9,0.39,WSH,1185.11
8480797,50,2.26,0.0,1,1.0,6,82,28,1.26,67,3.02,Farabee,0,3,4,2,58,67,1,L,L,58,Joel Farabee,28,1.26,PHI,971.18
8480798,48,2.01,1.0,1,2.0,2,75,28,1.17,27,1.13,Kurashev,0,4,5,1,59,69,1,C,L,83,Philipp Kurashev,43,1.8,CHI,1141.1
8480800,69,1.76,1.0,1,2.0,6,95,58,1.48,33,0.84,Hughes,3,4,2,1,108,118,1,D,L,277,Quinn Hughes,47,1.2,VAN,1478.94
8480801,34,1.31,1.0,1,2.0,6,81,49,1.89,294,11.37,Tkachuk,3,3,17,1,104,128,1,L,L,89,Brady Tkachuk,48,1.85,OTT,1148.53
8480802,42,1.71,0.0,2,2.0,6,105,57,2.32,92,3.75,McLeod,2,1,2,1,62,68,0,C,L,49,Ryan McLeod,82,3.34,EDM,840.31
8480803,150,3.61,0.0,1,1.0,3,106,104,2.5,99,2.38,Bouchard,2,10,10,4,90,116,3,D,R,285,Evan Bouchard,77,1.85,EDM,1408.42
8480806,27,2.45,0.0,1,1.0,1,46,12,1.09,51,4.63,Lundestrom,0,0,1,0,24,25,0,C,L,13,Isac Lundestrom,19,1.72,ANA,860.45
8480807,87,6.21,1.0,0,1.0,0,41,24,1.71,106,7.56,Samuelsson,0,0,1,0,16,17,0,D,L,32,Mattias Samuelsson,8,0.57,BUF,1230.0
8480813,35,1.88,1.0,0,1.0,2,80,13,0.69,108,5.8,Veleno,0,2,3,2,39,46,0,C,L,36,Joe Veleno,23,1.23,DET,837.38
8484911,7,3.61,0.0,0,0.0,0,7,1,0.51,5,2.58,Graf,0,0,0,0,4,4,0,R,R,3,Collin Graf,5,2.58,SJS,995.71
8480817,140,4.07,4.0,0,4.0,0,96,46,1.33,179,5.2,Miller,0,4,1,2,65,72,1,D,L,109,K'Andre Miller,67,1.94,NYR,1288.94
8474679,40,1.54,2.0,5,7.0,5,87,41,1.57,42,1.61,Nyquist,2,7,2,1,55,67,0,R,L,64,Gustav Nyquist,43,1.65,NSH,1074.21
8480823,66,6.48,0.0,0,0.0,0,43,13,1.27,54,5.3,Alexeyev,1,0,1,1,9,12,0,D,L,40,Alexander Alexeyev,5,0.49,WSH,852.58
8480829,41,2.14,0.0,1,1.0,2,90,36,1.88,68,3.55,Kotkaniemi,2,3,4,2,63,74,0,C,L,73,Jesperi Kotkaniemi,28,1.46,CAR,764.33
8480830,32,1.58,2.0,4,6.0,4,70,53,2.63,174,8.64,Svechnikov,3,6,10,1,78,98,0,R,L,102,Andrei Svechnikov,34,1.68,CAR,1035.27
8480834,46,4.95,0.0,0,0.0,1,30,8,0.86,94,10.13,Emberson,0,0,0,0,14,14,0,D,R,29,Ty Emberson,7,0.75,SJS,1112.96
